"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop,Date
Yemen,"11,819",,"2,149 ",,"9,009",,661,23,381,69,"265,253","8,545","31,043,618 ",Asia,,,21,2022-05-11
Samoa,"11,045",+119,23 ,+1,"1,605",,"9,417",4,"54,989",115,"82,612","411,293","200,859 ",Australia/Oceania,592,5,"46,884",2022-05-11
Tonga,"10,950",+124,11 ,,"9,985",+280,954,,"101,468",102,"518,262","4,802,457","107,916 ",Australia/Oceania,"1,149",,"8,840",2022-05-11
Saint Martin,"10,537",,63 ,,"1,399",,"9,075",7,"264,165","1,579","112,382","2,817,439","39,888 ",North America,,,"227,512",2022-05-11
Sint Maarten,"10,123",,86 ,,"9,985",,52,10,"231,230","1,964","62,056","1,417,483","43,779 ",North America,,,"1,188",2022-05-11
Caribbean Netherlands,"9,903",+1,35 ,,"9,819",+3,49,,"371,246","1,312","30,126","1,129,372","26,675 ",North America,37,,"1,837",2022-05-11
Eritrea,"9,738",,103 ,,"9,631",,4,,"2,677",28,"23,693","6,514","3,637,426 ",Africa,,,1,2022-05-11
Niger,"9,005",,309 ,,"8,568",,128,1,349,12,"252,609","9,780","25,830,245 ",Africa,,,5,2022-05-11
Guinea-Bissau,"8,215",,171 ,,"8,005",,39,6,"3,999",83,"135,939","66,176","2,054,216 ",Africa,,,19,2022-05-11
Vanuatu,"8,117",+37,14 ,,"7,675",+39,428,,"25,330",44,"24,976","77,941","320,449 ",Australia/Oceania,115,,"1,336 ",2022-05-11
Comoros,"8,100",,160 ,,"7,933",,7,,"8,961",177,,,"903,939 ",Africa,,,8,2022-05-11
Antigua and Barbuda,"7,721",+58,137 ,,"7,511",+40,73,1,"77,650","1,378","18,901","190,088","99,433 ",North America,583,,734,2022-05-11
Sierra Leone,"7,682",,125 ,,,,,,928,15,"259,958","31,405","8,277,696 ",Africa,,,331,2022-05-11
Liberia,"7,434",,294 ,,"5,747",,"1,393",2,"1,408",56,"139,824","26,492","5,278,022 ",Africa,,,264,2022-05-11
Chad,"7,414",,193 ,,"4,874",,"2,347",,429,11,"191,341","11,061","17,299,381 ",Africa,,,136,2022-05-11
St. Vincent Grenadines,"6,792",,106 ,,"6,641",,45,,"60,864",950,"99,029","887,412","111,593 ",North America,,,403,2022-05-11
British Virgin Islands,"6,467",,62 ,,,,,1,"211,312","2,026","103,397","3,378,545","30,604 ",North America,,,"4,182",2022-05-11
Turks and Caicos,"6,046",+51,36 ,,"5,963",+45,47,4,"152,338",907,"505,354","12,733,169","39,688 ",North America,"1,285",,"1,184",2022-05-11
Sao Tome and Principe,"5,970",,73 ,," 5,891",,6,,"26,334",322,"29,036","128,079","226,704 ",Africa,,,26,2022-05-11
Saint Kitts and Nevis,"5,596",+1,43 ,,"5,536",+4,17,,"103,828",798,"70,707","1,311,891","53,897 ",North America,19,,315,2022-05-11
Cook Islands,"5,367",+31,1 ,,"5,230",+15,136,,"305,047",57,"17,373","987,439","17,594 ",Australia/Oceania,"1,762",,"7,730",2022-05-11
Palau,"4,782",,6 ,,"4,087",,689,1,"261,970",329,"47,272","2,589,679"," 18,254 ",Australia/Oceania,,,"37,745",2022-05-11
St. Barth,"4,575",,6 ,,,,,,"460,586",604,"78,646","7,917,648","9,933 ",North America,,,"413,470",2022-05-11
Kiribati,"3,093",,13 ,,"2,602",,478,3,"25,178",106,,,"122,847 ",Australia/Oceania,,,"3,891",2022-05-11
Anguilla,"2,984",,9 ,,"2,916",,59,4,"195,659",590,"51,382","3,369,091","15,251 ",North America,,,"3,869",2022-05-11
Saint Pierre Miquelon,"2,739",,1 ,,"2,449",,289,1,"477,011",174,"23,687","4,125,218","5,742 ",North America,,,"50,331",2022-05-11
Diamond Princess,712,,13 ,,699,,0,,,,,,,,,,,2022-05-11
Montserrat,653,,2 ,,313,,338,,"130,652",400,"10,843","2,169,468","4,998 ",North America,,,"67,627",2022-05-11
Wallis and Futuna,454,,7 ,,438,,9,,"41,751",644,"20,508","1,885,967","10,874 ",Australia/Oceania,,,828,2022-05-11
Falkland Islands,197,,,,,,,,"53,708",,"8,632","2,353,326","3,668 ",South America,,,"19,902",2022-05-11
Macao,82,,,,82,,0,,123,,"5,375","8,074","665,747 ",Asia,,,,2022-05-11
Vatican City,29,,,,29,,0,,"36,025",,,,805 ,Europe,,,,2022-05-11
Marshall Islands,17,,,,14,,3,,284,,,,"59,931 ",Australia/Oceania,,,50,2022-05-11
Western Sahara,10,,1 ,,9,,0,,16,2,,,"624,560 ",Africa,,,,2022-05-11
MS Zaandam,9,,2 ,,7,,0,,,,,,,,,,,2022-05-11
Niue,9,,,,8,,1,,"5,468",,,,"1,646 ",Australia/Oceania,,,608,2022-05-11
Micronesia,7,,,,1,,6,,60,,,,"117,259 ",Australia/Oceania,,,51,2022-05-11
Nauru,7,,,,4,,3,,639,,,,"10,950 ",Australia/Oceania,,,274,2022-05-11
Saint Helena,2,,,,2,,0,,327,,,,"6,111 ",Africa,,,,2022-05-11
