"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop,Date
China,"222,976",+201,"5,219 ", +1,"213,042",+391,"4,715",292,155,4,"160,000,000","111,163","1,439,323,776 ",Asia,0.1,,3,2022-05-22
USA,"85,007,294","+62,870","1,028,969 ",+87,"81,586,249","+41,083","2,392,076","2,307","254,007","3,075","1,021,657,989","3,052,776","334,665,263 ",North America,188,0.3," 7,148",2022-05-22
India,"43,136,371","+2,039","524,413 ",+65,"42,597,003","+2,202","14,955",698,"30,689",373,"846,354,733","602,128","1,405,606,396 ",Asia,1,0.05,11,2022-05-22
Brazil,"30,780,028","+17,615","665,657 ",+62,"29,801,225",,"313,146","8,318","142,890","3,090","63,776,166","296,068","215,410,601 ",South America,82,0.3,"1,454",2022-05-22
France,"29,337,985","+22,507","147,824 ",+44,"28,534,231","+36,661","655,930","1,173","447,594","2,255","271,490,188","4,141,977","65,546,044 ",Europe,343,0.7,"10,007",2022-05-22
Germany,"26,082,317"," +28,383","138,709 ",+76,"24,575,600","+49,300","1,368,008",944,"309,438","1,646","122,332,384","1,451,337","84,289,451 ",Europe,337,0.9,"16,230",2022-05-22
UK,"22,238,715",,"177,977 ",,"21,804,498",,"256,240",188,"324,374","2,596","522,526,476","7,621,568","68,558,917 ",Europe,,,"3,738",2022-05-22
Russia,"18,288,740","+5,034","378,270 ",+102,"17,683,089","+6,288","227,381","2,300","125,220","2,590","273,400,000","1,871,929","146,052,530 ",Europe,34,0.7,"1,557",2022-05-22
S. Korea,"17,938,399","+23,442","23,911 ",+26,"17,322,868","+50,977"," 591,620",235,"349,319",466,"15,804,065","307,757","51,352,437 ",Asia,456,0.5,"11,521",2022-05-22
Italy,"17,229,808","+24,521","165,918 ",+91,"16,206,476","+41,696","857,414",301,"285,763","2,752","219,271,097","3,636,693","60,294,088 ",Europe,407,2,"14,221",2022-05-22
 Turkey,"15,061,376","+1,264","98,921 ",+3,"14,958,887","+1,219","3,568",975,"175,027","1,150","161,422,423","1,875,880","86,051,554 ",Asia,15,0.03,41,2022-05-22
Spain,"12,238,073",,"105,947 ",,"11,620,275",,"511,851",339,"261,559","2,264","471,036,328","10,067,256","46,788,947 ",Europe,,,"10,940",2022-05-22
Vietnam,"10,707,568","+1,457","43,075 ",,"9,393,101","+3,069","1,271,392",221,"108,167",435,"85,813,789","866,883","98,991,236 ",Asia,15,,"12,843",2022-05-22
Argentina,"9,172,654","+5,899","128,818 ",+7,"8,895,999",,"147,837",300,"199,499","2,802","35,716,069","776,802","45,978,362 ",South America,128,0.2,"3,215",2022-05-22
Japan,"8,552,464","+39,001","30,255 ",+44,"8,174,421","+43,398","347,788",101,"68,014",241,"51,312,250","408,063","125,746,009 ",Asia,310,0.3,"2,766",2022-05-22
Netherlands,"8,076,372","+1,178","22,307 ",+1,"8,007,672",,"46,393",36,"469,382","1,296","21,107,399","1,226,717","17,206,410 ",Europe,68,0.06,"2,696",2022-05-22
Iran,"7,229,741",+159,"141,271 ",+9,"7,032,212","+1,857","56,258",693,"84,046","1,642","51,877,878","603,080","86,021,530 ",Asia,2,0.1,654,2022-05-22
Australia,"6,910,453","+46,626","8,077 ",+50,"6,522,840","+45,180","379,536",107,"265,193",310,"71,152,817","2,730,538","26,058,172 ",Australia/Oceania,"1,789",2,"14,565",2022-05-22
Colombia,"6,099,111",,"139,833 ",,"5,930,545",,"28,733",342,"117,502","2,694","34,792,844","670,301","51,906,279 ",South America,,,554,2022-05-22
Indonesia,"6,052,363",+263,"156,519 ",+6,"5,892,126",+254,"3,718","2,771","21,695",561,"98,027,949","351,378","278,981,396 ",Asia,0.9,0.02,13,2022-05-22
Poland,"6,005,436",+336,"116,268 ",+13,"5,335,238",+34,"553,930",981,"159,007","3,078","36,276,818","960,507","37,768,404 ",Europe,9,0.3,"14,666",2022-05-22
Mexico,"5,752,441",,"324,617 ",,"5,050,420",,"377,404","4,798","43,748","2,469","15,897,804","120,906","131,488,897 ",North America,,,"2,870",2022-05-22
Ukraine,"5,009,301",,"108,497 ",,,,,177,"115,854","2,509","19,521,252","451,482","43,238,126 ",Europe,,,"19,492",2022-05-22
Malaysia,"4,489,503","+2,021","35,641 ",+3,"4,422,615",,"31,247",36,"135,436","1,075","59,539,583","1,796,148","33,148,481 ",Asia,61,0.09,943,2022-05-22
Thailand,"4,406,755","+5,377","29,718 ",+37,"4,318,565","+5,775","58,472","1,496","62,837",424,"17,270,775","246,266","70,130,461 ",Asia, 77,0.5,834,2022-05-22
Austria,"4,231,480","+2,572","18,343 ",+10,"4,166,123","+9,814","47,014",54,"464,826","2,015","186,327,528","20,467,979","9,103,367 ",Europe,283,1,"5,164",2022-05-22
Belgium,"4,134,293",,"31,675 ",,"3,979,434",,"123,184",105,"353,818","2,711","33,947,485","2,905,269","11,684,799 ",Europe,,,"10,542",2022-05-22
Israel,"4,120,622","+1,639","10,827 ",,"4,094,657","+2,661","15,138",150,"441,842","1,161","41,373,364","4,436,346","9,326,000 ",Asia,176,,"1,623",2022-05-22
Portugal,"4,066,674",,"22,583 ",,,,,61,"401,028","2,227","42,241,214","4,165,546","10,140,618 ",Europe,,,"115,172",2022-05-22
South Africa,"3,926,652","+5,019","100,931 ",+15,"3,739,543",,"86,178",192,"64,669","1,662","25,049,752","412,548","60,719,678 ",Africa, 83,0.2,"1,419",2022-05-22
Czechia,"3,917,980",+326,"40,265 ",+1,"3,875,168",+661,"2,547",6,"364,583","3,747","55,361,506","5,151,600","10,746,468 ",Europe,30,0.09,237,2022-05-22
