"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop,Date
Ukraine,"5,001,039","+1,055","108,380 ", +21,,,,177,"115,617","2,506","19,521,252","451,303","43,255,264 ",Europe,24,0.5,"19,296",2022-04-28
Malaysia,"4,443,318","+2,935","35,536 ",+10,"4,354,006","+7,585","53,776",84,"134,153","1,073","58,619,511","1,769,844","33,121,289 ",Asia,89,0.3,"1,624",2022-04-28
Thailand,"4,224,008","+14,437","28,274 ",+127,"4,036,969","+18,509","158,765","1,496","60,241",403,"17,270,775","246,307","70,119,008 ",Asia,206,2,"2,264",2022-04-28
Austria,"4,129,158","+6,361","18,117  ",+17,"4,026,844","+8,427","84,197",113,"453,753","1,991","182,596,243","20,065,512","9,100,004 ",Europe,699,2,"9,252",2022-04-28
Israel,"4,071,491","+3,804","10,695 ",,"4,033,472","+3,901","27,324",220,"436,574","1,147","41,373,364","4,436,346","9,326,000 ",Asia,408,,"2,930",2022-04-28
Belgium,"4,056,448","+6,084","31,439 ",+19,"3,768,784","+8,917","256,225",156,"347,254","2,691","33,531,891","2,870,513","11,681,499 ",Europe,521,2,"21,934",2022-04-28
Czechia,"3,902,109","+1,639","40,137 ",+14,"3,843,930","+1,057","18,042",33,"363,150","3,735","55,171,659","5,134,555","10,745,169 ",Europe,153,1,"1,679",2022-04-28
Portugal,"3,841,212","+13,011","22,269 ",+17,,,,61,"378,722","2,196","41,165,855","4,058,725","10,142,559 ",Europe,"1,283",2,"92,951",2022-04-28
South Africa,"3,780,444","+4,146","100,355 ",+4,"3,640,571","+2,484","39,518",192,"62,311","1,654","24,423,181","402,553","60,670,648 ",Africa,68,0.07,651,2022-04-28
Canada,"3,741,119","+15,346","39,177 ",+170,"3,448,330","+3,760","253,612",471,"97,565","1,022","60,819,571","1,586,118","38,344,917 ",North America,400,4,"6,614",2022-04-28
Philippines,"3,685,219",+190,"60,267 ",+52,"3,615,370","+1,132","9,582",289,"32,834",537,"29,519,689","263,011","112,237,488 ",Asia,2,0.5,85,2022-04-28
Switzerland,"3,602,489",,"13,857 ",+2,"3,426,790"," +7,149","161,842",87,"410,778","1,580","20,767,523","2,368,043","8,769,910 ",Europe,,0.2,"18,454",2022-04-28
Peru,"3,563,929",+778,"212,798 ",+20,,,,324,"105,416","6,294","29,778,939","880,815","33,808,382 ",South America,23,0.6,"48,227",2022-04-28
Chile,"3,553,956","+2,573","57,495 ",+27,"3,401,031","+3,358","95,430",239,"183,051","2,961","36,908,909","1,901,042","19,415,094 ",South America,133,1,"4,915",2022-04-28
Greece,"3,309,962","+7,580","29,073 ",+51,"3,195,503",,"85,386",260,"320,412","2,814","79,481,141","7,693,959","10,330,331 ",Europe,734,5,"8,266",2022-04-28
Denmark,"2,964,337","+1,000","6,135 ",+10,"2,939,108","+2,108","19,094",13,"508,519","1,052","127,196,800","21,820,043","5,829,356 ",Europe,172,2,"3,275",2022-04-28
Romania,"2,891,973","+1,146","65,471 ", +15,"2,606,660",,"219,842",193,"152,177","3,445","22,663,841","1,192,584","19,003,982 ",Europe,60,0.8,"11,568",2022-04-28
Sweden,"2,500,917",,"18,739 ",,"2,468,078","+1,749","14,100",21,"244,853","1,835","18,513,445","1,812,561","10,213,973 ",Europe,,,"1,380",2022-04-28
Iraq,"2,324,847",+148,"25,209 ",+1,"2,297,303",+240,"2,335",20,"55,531",602,"18,470,495","441,182","41,865,898 ",Asia,4,0.02,56,2022-04-28
Serbia,"2,005,072",+817,"15,980 ",+4,"1,972,747",,"16,345",25,"231,178","1,842","9,471,803","1,092,068","8,673,273 ",Europe,94,0.5,"1,885",2022-04-28
Bangladesh,"1,952,644",+19,"29,127 ",,"1,894,820",+363,"28,697","1,297","11,645",174,"13,982,774","83,391","167,677,969 ",Asia,0.1,,171,2022-04-28
Hungary,"1,899,633","+1,736","46,189 ",+27,"1,801,813","+4,669","51,631",36,"197,556","4,804","11,331,451","1,178,435","9,615,674 ",Europe,181,3,"5,369",2022-04-28
Slovakia,"1,779,096","+1,125","19,879 ",+6,"1,739,920","+2,665","19,297",70,"325,576","3,638","7,079,734","1,295,597","5,464,459 ",Europe,206,1,"3,531",2022-04-28
Jordan,"1,694,216",,"14,048 ",,"1,678,941",,"1,227",124,"163,099","1,352","16,670,254","1,604,818","10,387,632 ",Asia,,,118,2022-04-28
Georgia,"1,654,797",+132,"16,805 ",+3,"1,636,520",+332,"1,472",,"416,278","4,227","16,861,249","4,241,589","3,975,220 ",Asia,33,0.8,370,2022-04-28
Pakistan,"1,528,272",+94,"30,371 ",,"1,494,141",,"3,760",135,"6,682",133,"28,119,847","122,954","228,702,716 ",Asia,0.4,,16,2022-04-28
Ireland,"1,516,153"," +1,148","7,076 ",+22,"1,441,758","+5,909","67,319",36,"300,928","1,404","12,055,978","2,392,890","5,038,250 ",Europe,228,4,"13,362",2022-04-28
Norway,"1,425,464",+385,"2,932 ",,,,,20,"259,248",533,"11,002,430","2,001,004","5,498,456 ",Europe,70,,"242,537",2022-04-28
Kazakhstan,"1,305,504",+15,"13,660 ",,"1,291,044",+14,800,24,"68,045",712,"11,575,012","603,312","19,185,784 ",Asia,0.8,,42,2022-04-28
Hong Kong,"1,203,481",+413,"9,287 ",+5,,, N/A,115,"158,191","1,221","44,972,952","5,911,450","7,607,770 ",Asia,54,0.7,"155,231",2022-04-28
Singapore,"1,193,250","+2,690","1,334 ",,"1,124,243","+2,205","67,673",6,"201,082",225,"23,712,995","3,996,022","5,934,151 ",Asia,453,,"11,404",2022-04-28
Morocco,"1,164,865",+40,"16,069 ",+1,"1,148,406",+58,390,293,"30,892",426,"11,237,010","298,005","37,707,412 ",Africa,1,0.03,10,2022-04-28
Bulgaria,"1,155,975",+588,"36,901 ",+14,"974,185","+3,593","144,889",86,"168,677","5,384","9,834,317","1,434,998","6,853,191 ",Europe,86,2,"21,142",2022-04-28
Croatia,"1,120,766",+850,"15,817 ",+9,"1,098,860",,"6,089",24,"276,108","3,897","4,780,298","1,177,656","4,059,162 ",Europe,209,2,"1,500",2022-04-28
Cuba,"1,102,559",+204,"8,525 ",,"1,093,026",+276,"1,008",23,"97,451",753,"12,920,253","1,141,968","11,314,024 ",North America,18,,89,2022-04-28
Lebanon,"1,096,763",+115,"10,382 ",+1,"1,081,031",+321,"5,350",186,"162,009","1,534","4,795,578","708,380","6,769,778 ",Asia,17,0.1,790,2022-04-28
Lithuania,"1,057,148",+649,"9,087 ",+7,"1,021,494","+1,108","26,567",29,"398,453","3,425","8,238,207","3,105,086","2,653,133 ",Europe,245,3,"10,013",2022-04-28
Tunisia,"1,040,193",,"28,550 ",,,,,29,"86,367","2,371","4,572,976","379,693","12,043,871 ",Africa,,,"-1,198.29",2022-04-28
Finland,"1,023,013","+22,541","3,939 ",+301,"46,000",,"973,074",24,"184,114",709,"10,720,282","1,929,358","5,556,398 ",Europe,"4,057",54,"175,127",2022-04-28
Slovenia,"1,007,836",+294,"6,588 ",+1,"987,667","+1,542","13,581",26,"484,663","3,168","2,644,271","1,271,615","2,079,458 ",Europe,141,0.5,"6,531",2022-04-28
Belarus,"979,346",+573,"6,940 ",+4,"928,536",,"43,870",,"103,704",735,"13,135,844","1,390,969","9,443,662 ",Europe,61,0.4," 4,645",2022-04-28
Nepal,"978,793",+15,"11,951 ",,"966,593",+18,249,,"32,528",397,"5,633,459","187,213","30,091,143 ",Asia,0.5,,8,2022-04-28
New Zealand,"915,522","+9,125",683 ,+12,"860,484","+10,349","54,355",,"183,028",137,"6,993,315","1,398,076","5,002,100 ",Australia/Oceania,"1,824",2,"10,866",2022-04-28
Bolivia,"904,758",+101,"21,910 ",+1,"857,477",+536,"25,371",220,"75,630","1,831","2,699,040","225,615","11,963,027 ",South America,8,0.08,"2,121",2022-04-28
UAE,"898,045",+275,"2,302 ",,"881,148",+334,"14,595",,"88,844",228,"155,438,379","15,377,676","10,108,054 ",Asia,27,,"1,444",2022-04-28
Uruguay,"895,775",,"7,197 ",,"886,654",,"1,924",18,"256,254","2,059","6,091,188","1,742,501","3,495,659 ",South America,,,550,2022-04-28
Ecuador,"869,124",+288,"35,588 ",+4,,,,759,"47,936","1,963","2,470,170","136,240","18,130,976 ",South America,16,0.2,"21,491",2022-04-28
Costa Rica,"852,074",,"8,405 ",,"832,853",,"10,816",45,"164,530","1,623","4,291,131","828,588","5,178,848 ",North America,,,"2,088",2022-04-28
Guatemala,"844,989",+930,"17,545 ",+7,"825,142",+935,"2,302",5,"45,628",947,"4,444,867","240,016","18,519,069 ",North America,50,0.4,124,2022-04-28
Latvia,"821,602", +527,"5,759 ",+8,"807,957","+2,581","7,886",11,"444,535","3,116","7,170,689","3,879,766","1,848,227 ",Europe,285,4,"4,267",2022-04-28
Azerbaijan,"792,521",,"9,707 ",,"782,675",,139,,"76,902",942,"6,801,484","659,977","10,305,641 ",Asia,,,13,2022-04-28
Panama,"774,549",+874,"8,184 ",+1,"761,123",+248,"5,242",8,"174,508","1,844","5,858,021","1,319,830","4,438,467 ",North America,197,0.2,"1,181",2022-04-28
Saudi Arabia,"753,822",+92,"9,085 ",+1,"741,389",+154," 3,348",45,"21,056",254,"41,872,220","1,169,573","35,801,287 ",Asia,3,0.03,94,2022-04-28
Sri Lanka,"663,301",+62,"16,504 ",+1,"646,118",+3,679,,"30,741",765,"6,486,117","300,606","21,576,791 ",Asia,3,0.05,31,2022-04-28
Paraguay,"649,034",,"18,795 ",,"624,673",,"5,566",5,"89,005","2,577","2,623,300","359,745","7,292,115 ",South America,,,763,2022-04-28
Kuwait,"631,409",,"2,555 ",,"628,090",,764,8,"143,973",583,"8,007,805","1,825,933","4,385,597 ",Asia,,,174,2022-04-28
Myanmar,"612,843",+41,"19,434 ",,"591,794",+54,"1,615",,"11,128",353,"7,935,826","144,093","55,074,209 ",Asia,0.7,,29,2022-04-28
Palestine,"581,940",,"5,353 ",,"576,242",,345,17,"109,442","1,007","3,078,533","578,962","5,317,330 ",Asia,,,65,2022-04-28
Dominican Republic,"579,248",,"4,376 ",,"574,601",,271,6,"52,439",396,"3,274,131","296,407","11,046,055 ",North America,,,25,2022-04-28
Estonia,"571,625",+327,"2,537 ",+4,"509,742",+707,"59,346",1,"430,389","1,910","3,322,155","2,501,321","1,328,160 ",Europe,246,3,"44,683",2022-04-28
Bahrain,"567,988",+374,"1,475 ",,"562,988",+425,"3,525",4,"313,941",815,"9,715,743","5,370,125","1,809,221 ",Asia,207,,"1,948",2022-04-28
Venezuela,"522,271",+8,"5,707 ",+1,"515,653",+14,911,230,"18,462",202,"3,359,014","118,738","28,289,197 ",South America,0.3,0.04,32,2022-04-28
Moldova,"516,986",,"11,489 ",,"504,142",,"1,355",49,"128,703","2,860","3,216,305","800,696","4,016,887 ",Europe,,,337,2022-04-28
Egypt,"515,645",,"24,613 ",,"442,182",,"48,850",122,"4,872",233,"3,693,367","34,893","105,849,163 ",Africa,,,462,2022-04-28
Libya,"501,904",,"6,430 ",,"490,973",,"4,501",101,"71,278",913,"2,477,219","351,804","7,041,471 ",Africa,,,639,2022-04-28
Ethiopia,"470,515",+23,"7,510 ",,"455,292",+133,"7,713",13,"3,916",63,"4,781,317","39,795","120,148,051 ",Africa,0.2,,64,2022-04-28
Cyprus,"470,481",,"1,011 ",,"124,370",,"345,100",60,"384,578",826,"9,477,138","7,746,760","1,223,368 ",Asia,,,"282,090",2022-04-28
Mongolia,"469,754",+42,"2,177 ",,"313,256",,"154,321",192,"139,210",645,"4,030,048","1,194,288","3,374,435 ",Asia,12,,"45,732",2022-04-28
Honduras,"423,179",,"10,893 ",,"132,318",,"279,968",105,"41,523","1,069","1,263,329","123,959","10,191,498 ",North America,,,"27,471",2022-04-28
Armenia,"422,858", +3,"8,622 ",,"410,814",+216,"3,422",,"142,217","2,900","3,045,254","1,024,189","2,973,331 ",Asia,1,,"1,151",2022-04-28
Oman,"389,126",+13,"4,258 ",,"384,243",+28,625,4,"72,828",797,"25,000,000","4,678,957","5,343,071 ",Asia,2,,117,2022-04-28
Bosnia and Herzegovina,"377,043",+95,"15,764 ",,"192,218",,"169,061",,"116,240","4,860","1,757,543","541,840","3,243,655 ",Europe,29,,"52,121",2022-04-28
Réunion,"374,295",,742 ,,"355,605",,"17,948",10,"412,696",818,"1,603,660","1,768,190","906,950 ",Africa,,,"19,789",2022-04-28
Qatar,"364,498",+77,677 ,,"363,187",+126,634,3,"129,816",241,"3,434,710","1,223,272","2,807,805 ",Asia,27,,226,2022-04-28
Kenya,"323,745",+11,"5,649 ",,"317,932",+4,164,,"5,789",101,"3,593,253","64,248","55,927,898 ",Africa,0.2,,3,2022-04-28
Zambia,"319,594",+163,"3,976 ",,"314,690",+113,928,,"16,541",206,"3,423,665","177,197","19,321,198 ",Africa, 8,,48,2022-04-28
North Macedonia,"309,434",+124,"9,278 ",,"299,653",+114,503,,"148,537","4,454","2,015,726","967,602","2,083,218 ",Europe,60,,241,2022-04-28
Botswana,"305,859",,"2,688 ",,"303,026",,145,1," 125,450","1,103","2,026,898","831,348","2,438,087 ",Africa,,,59,2022-04-28
Albania,"275,002",+73,"3,496 ",,"271,095",+27,411,2,"95,750","1,217","1,804,298","628,221","2,872,074 ",Europe,25,,143,2022-04-28
Algeria,"265,776", +3,"6,875 ",,"178,353",+3,"80,548",6,"5,868",152,"230,861","5,097","45,293,023 ",Africa,0.07,,"1,778",2022-04-28
Nigeria,"255,716",+31,"3,143 ",,"249,896",+6,"2,677",11,"1,187",15,"5,075,820","23,560","215,441,397 ",Africa, 0.1,,12,2022-04-28
Zimbabwe,"247,784",+55,"5,469 ",,"241,603",+37,712,12,"16,241",358,"2,251,091","147,545","15,256,978 ",Africa,4,,47,2022-04-28
Uzbekistan,"238,556",+21,"1,637 ",,"236,605",+42,314, 23,"6,944",48,"1,377,915","40,111","34,352,628 ",Asia,0.6,,9,2022-04-28
Luxembourg,"237,248",+562,"1,064 ",+1,"226,196","+1,188","9,988",3,"368,097","1,651","4,225,009","6,555,229","644,525 ",Europe,872,2,"15,497",2022-04-28
Montenegro,"235,062",+105,"2,714 ",,"231,629",+66,719,6,"374,177","4,320","2,449,879","3,899,771","628,211 ",Europe,167,,"1,145",2022-04-28
Mozambique,"225,379",+4,"2,201 ",,"223,113",+3,65,13,"6,861",67,"1,311,778","39,933","32,849,499 ",Africa,0.1,,2,2022-04-28
Laos,"206,881",+369,740 ,+3,"7,660",,"198,481",,"27,703",99,"1,232,128","164,991","7,467,841 ",Asia,49,0.4,"26,578",2022-04-28
Kyrgyzstan,"200,992",+1,"2,991 ",,"196,400",+3,"1,601",131,"29,909",445,"1,907,195","283,799","6,720,222 ",Asia,0.1,,238,2022-04-28
Iceland,"185,579",+226,119 ,,"75,685",,"109,775",,"537,479",345,"1,953,616","5,658,112","345,277 ",Europe,655,,"317,933",2022-04-28
Maldives,"179,171",,298 ,,"163,687",,"15,186",25,"321,163",534,"2,213,831","3,968,285","557,881 ",Asia,,,"27,221",2022-04-28
Afghanistan,"178,850",+39,"7,683 ",,"161,849",+15,"9,318","1,124","4,413",190,"943,572","23,284","40,524,618 ",Asia,1.0,,230,2022-04-28
Uganda,"164,069",,"3,596 ",,"100,205",,"60,268",2,"3,392",74,"2,612,795","54,016","48,370,334 ",Africa,,,"1,246",2022-04-28
El Salvador,"162,089",,"4,128 ",,"150,662",,"7,299",8,"24,762",631,"1,950,448","297,968","6,545,820 ",North America,,,"1,115",2022-04-28
Ghana,"161,170",,"1,445 ",,"159,679",,46,1,"4,997",45,"2,435,325","75,505","32,253,981 ",Africa,,,1,2022-04-28
Namibia,"158,545",+65,"4,025 ",,"153,662",,858,,"60,405","1,534","1,004,453","382,692","2,624,702 ",Africa,25,,327,2022-04-28
Martinique,"153,253",,926 ,,104,,"152,223",8,"408,964","2,471","828,928","2,212,038","374,735 ",North America,,,"406,215",2022-04-28
Trinidad and Tobago,"146,942",+802,"3,821 ",+2,"134,973",+289,"8,148",18,"104,381","2,714","703,591","499,801","1,407,743 ",North America,570,1,"5,788",2022-04-28
Brunei ,"141,629",+98,218 ,,"140,575",+153,836,,"318,189",490,"717,784","1,612,603","445,109 ",Asia,220,,"1,878",2022-04-28
Guadeloupe,"140,130",,854 ,,"2,250",,"137,026",19,"350,107","2,134","938,039","2,343,639","400,249 ",North America,,,"342,352",2022-04-28
Cambodia,"136,240",+5,"3,056 ",,"133,023",+29,161,,"7,948",178,"2,950,598","172,143","17,140,382 ",Asia,0.3,,9,2022-04-28
Jamaica,"129,862",+115,"2,955 ",+1,"83,256",+56,"43,651",,"43,509",990,"993,904","332,999","2,984,710 ",North America,39,0.3,"14,625",2022-04-28
Rwanda,"129,785",+7,"1,458 ",,"45,522",,"82,805",,"9,588",108,"5,254,153","388,140","13,536,758 ",Africa,0.5,,"6,117",2022-04-28
Cameroon,"119,780",,"1,927 ",,"117,791",,62,13,"4,317",69,"1,751,774","63,130","27,748,889 ",Africa,,,2,2022-04-28
Angola,"99,194",,"1,900 ",,"97,149",,145,,"2,856",55,"1,499,795","43,188","34,727,180 ",Africa,,,4,2022-04-28
Malta,"91,427", +206,698 ,+2,"86,356",+380,"4,373",4,"206,063","1,573","1,879,995","4,237,229","443,685 ",Europe,464,5,"9,856",2022-04-28
Taiwan,"88,440","+11,511",860 ,+2,"25,400",+500,"62,180",,"3,701",36,"14,604,741","611,197","23,895,294 ",Asia,482,0.08,"2,602",2022-04-28
DRC,"87,023",,"1,337 ",,"50,930",,"34,756",,921,14,"846,704","8,958","94,517,642 ",Africa,,,368,2022-04-28
Senegal,"85,994",+1,"1,966 ",,"84,011",+1, 17,,"4,901",112,"1,067,695","60,847","17,547,203 ",Africa,0.06,,1.0,2022-04-28
Malawi,"85,767",+6,"2,634 ",+1,"82,066",+105,"1,067",67,"4,282",132,"573,536","28,634","20,029,885 ",Africa,0.3,0.05,53,2022-04-28
Ivory Coast,"81,920",+7,799 ,,"81,090",+3,31,,"2,972",29,"1,499,410","54,391","27,567,496 ",Africa,0.3,,1,2022-04-28
French Guiana,"80,859",+437,395 ,+1,"11,254",,"69,210",2,"258,520","1,263","627,211","2,005,304","312,776 ",South America,"1,397",3,"221,277",2022-04-28
Suriname,"79,336",,"1,328 ",,"49,401",,"28,607",,"133,068","2,227","235,950","395,752","596,206 ",South America,,,"47,982",2022-04-28
Channel Islands,"74,351",+61,169 ,+2,"73,141", +78,"1,041",,"420,580",956,"1,252,808","7,086,740","176,782 ",Europe,345,11,"5,889",2022-04-28
French Polynesia,"72,720",+16,648 ,,,,,7,"256,177","2,283",,,"283,866 ",Australia/Oceania,56,,"135,881",2022-04-28
Eswatini,"70,528",+72,"1,397 ",,"68,818",,313,11,"59,666","1,182","1,014,310","858,098","1,182,044 ",Africa,61,,265,2022-04-28
Barbados,"69,345",+432,390 ,,"65,085",,"3,870",,"240,768","1,354","646,867","2,245,941","288,016  ",North America,"1,500",,"13,437",2022-04-28
Fiji,"64,634",+9,862 ,,"62,763",+73,"1,009",,"71,161",949,"507,722","558,995","908,277 ",Australia/Oceania,10,,"1,111",2022-04-28
Madagascar,"64,152",,"1,391 ",,"59,370",,"3,391",14,"2,213",48,"422,372","14,571","28,987,021 ",Africa,,,117,2022-04-28
Guyana,"63,457",+10,"1,228 ",,"62,130",+4,99,1,"79,975","1,548","594,884","749,729","793,465 ",South America,13,,125,2022-04-28
Sudan,"62,117",,"4,931 ",,,,,,"1,359",108,"562,941","12,315","45,713,308 ",Africa,,,369,2022-04-28
New Caledonia,"60,517",,312 ,,"60,102",,103,9,"208,322","1,074","98,964","340,671","290,497 ",Australia/Oceania,,,355,2022-04-28
Bhutan,"58,876",+233,20 ,,"56,583",+301,"2,273",2,"74,803",25,"2,294,999","2,915,825","787,084 ",Asia,296,,"2,888",2022-04-28
Mauritania,"58,686",,982 ,,"57,694",, 10,,"12,045",202,"802,899","164,793","4,872,155 ",Africa,,,2,2022-04-28
Belize,"57,491",+14,676 ,,"56,597",+3,218,6,"139,958","1,646","538,960","1,312,063","410,773 ",North America,34,,531,2022-04-28
Cabo Verde,"56,016",+2,401 ,,"55,550",+2,65,23,"98,796",707,"400,982","707,217","566,986 ",Africa,4,,115,2022-04-28
Syria,"55,810",+3,"3,150 ",,"52,148",+12,512,,"3,054",172,"146,269","8,004","18,274,669 ",Asia,0.2,,28,2022-04-28
Gabon,"47,602",+5,304 ,+1,"47,285",+3,13,,"20,506",131,"1,593,622","686,506","2,321,353 ",Africa,2,0.4,6,2022-04-28
Papua New Guinea,"43,800",,649 ,,"43,100",,51,7,"4,732",70,"249,149","26,919","9,255,648 ",Australia/Oceania,,,6,2022-04-28
Seychelles,"42,474",,166 ,,"41,727",,581,,"427,063","1,669",,,"99,456 ",Africa,,,"5,842",2022-04-28
Curaçao,"41,966",,273 ,,"41,251",,442,3,"253,855","1,651","496,693","3,004,525","165,315 ",North America,,,"2,674",2022-04-28
Andorra,"41,349",+336,153 ,,"40,689",+346,507,14,"533,604","1,974","249,838","3,224,132","77,490 ",Europe,"4,336",,"6,543",2022-04-28
Burundi,"39,794",+160,38 ,,773,,"38,983",,"3,175",3,"345,742","27,581","12,535,422 ",Africa,13,,"3,110",2022-04-28
Mauritius,"37,614",+28,990 ,,"35,855",+66,769,,"29,487",776,"358,675","281,179","1,275,612 ",Africa,22,,603,2022-04-28
Mayotte,"37,038",,187 ,,"2,964",,"33,887",,"130,050",657,"176,919","621,207","284,799 ",Africa,,,"118,986",2022-04-28
Togo,"36,985",+4,273 ,,"36,688",,24,,"4,285",32,"729,891","84,556","8,631,993 ",Africa,0.5,,3,2022-04-28
Guinea,"36,459",,440 ,,"35,976",,43,8,"2,646",32,"660,107","47,899","13,781,279 ",Africa,,,3,2022-04-28
Faeroe Islands,"34,658",,28 ,,"7,693",,"26,937",5,"704,417",569,"778,000","15,812,687","49,201 ",Europe,,,"547,489",2022-04-28
Aruba,"34,589",,212 ,,"34,251",,126,2,"321,483","1,970","177,885","1,653,329","107,592 ",North America,,,"1,171",2022-04-28
Tanzania,"33,872",,803 ,,,,,7,539,13,,,"62,831,447 ",Africa,,,523,2022-04-28
Bahamas,"33,527",+16,789  ,,"32,342",+7,396,11,"83,799","1,972","229,817","574,416","400,088 ",North America,40,,990,2022-04-28
Lesotho,"32,910",,697 ,,"24,155",,"8,058",,"15,144",321,"431,221","198,428","2,173,182 ",Africa,,,"3,708",2022-04-28
Mali,"30,804",+19,731 ,,"29,885",+13,188,,"1,445",34,"665,666","31,233","21,312,610 ",Africa,0.9,,9,2022-04-28
Haiti,"30,655",,835 ,,"29,479",,341,,"2,630",72,"132,422"," 11,361","11,655,706 ",North America,,,29,2022-04-28
Isle of Man,"28,416",,87 ,,"26,794",,"1,535",,"330,984","1,013","150,753","1,755,943","85,853 ",Europe,,,"17,879",2022-04-28
Benin,"26,952",,163 ,,"25,506",,"1,283",5,"2,122",13,"604,310","47,579","12,701,283 ",Africa,,,101,2022-04-28
Somalia,"26,485",,"1,350 ",,"13,182",,"11,953",,"1,586",81,"400,466","23,979","16,700,401 ",Africa,,,716,2022-04-28
Congo,"24,079",,385 ,,"20,178",,"3,516",,"4,176",67,"347,815","60,328","5,765,366 ",Africa,,,610,2022-04-28
