"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop,Date
China,"208,584","+1,503","4,923 ",+47,"178,155","+2,724","25,506",399,145,3,"160,000,000","111,163","1,439,323,776 ",Asia,1,0.03,18,2022-04-28
USA,"82,974,066","+65,444","1,020,397 ",+325,"80,623,403","+30,150","1,330,266","1,565","248,026","3,050","1,004,448,946","3,002,494","334,538,223 ",North America,196,1.0,"3,976",2022-04-28
India,"43,072,486","+3,687","523,753 ",+60,"42,530,622","+2,496","18,111",698,"30,663",373,"836,471,748","595,473","1,404,717,429 ",Asia, 3,0.04,13,2022-04-28
Brazil,"30,418,920","+19,916","663,289 ",+124,"29,499,422","+18,424","256,209","8,318","141,279","3,081","63,776,166","296,204","215,311,673 ",South America,92,0.6,"1,190",2022-04-28
France,"28,542,884","+59,760","145,711 ",+132,"26,552,452","+148,616"," 1,844,721","1,677","435,526","2,223","266,484,045","4,066,187","65,536,600 ",Europe,912,2,"28,148",2022-04-28
Germany,"24,608,074","+119,832","135,608 ",+239,"22,088,300","+202,400","2,384,166","1,446","292,008","1,609","122,332,384","1,451,639","84,271,929 ",Europe,"1,422",3,"28,291",2022-04-28
 UK,"22,031,008","+12,154","174,696 ",+248,"21,130,838","+48,271","725,474",310,"321,454","2,549","516,977,818","7,543,203","68,535,581 ",Europe,177,4,"10,585",2022-04-28
Russia,"18,167,281","+7,681","375,566 ",+166,"17,517,922","+11,063","273,793","2,300","124,392","2,572","273,400,000","1,871,982"," 146,048,440 ",Europe,53,1,"1,875",2022-04-28
S. Korea,"17,144,065","+57,439","22,588 ",+122,,,,552,"333,870",440,"15,804,065","307,774","51,349,553 ",Asia,"1,119",2,"314,549",2022-04-28
Italy,"16,350,322","+69,738","163,244 ",+131,"14,937,738","+55,773","1,249,340",382,"271,150","2,707","213,009,371","3,532,500","60,299,895 ",Europe,"1,157",2,"20,719",2022-04-28
Turkey,"15,028,397","+2,256","98,751 ",+15,"14,927,975","+11,193","1,671",975,"174,765","1,148","158,778,055","1,846,427","85,992,077 ",Asia,26,0.2, 19,2022-04-28
Spain,"11,875,253","+20,898","104,379 ",+76,"11,375,613","+14,082","395,261",339,"253,811","2,231","471,036,328","10,067,511","46,787,764 ",Europe,447,2,"8,448",2022-04-28
Vietnam,"10,638,632","+7,116","43,037 ",+3,"9,242,303","+79,171","1,353,292",629,"107,533",435,"85,795,593","867,201","98,933,864 ",Asia,72,0.03,"13,679",2022-04-28
Argentina,"9,072,230",,"128,542 ",,"8,895,999",,"47,689",372,"197,432","2,797","35,716,069","777,261","45,951,194 ",South America,,,"1,038",2022-04-28
Netherlands,"8,045,453","+1,245","22,239 ",+2,"7,783,787","+52,136","239,427",75,"467,652","1,293","21,107,399","1,226,894","17,203,931 ",Europe,72,0.1,"13,917",2022-04-28
Japan,"7,771,536","+45,771","29,467 ",+65,"7,319,357","+55,998","422,712",174,"61,791",234,"48,448,864","385,214","125,771,286 ",Asia,364,0.5,"3,361",2022-04-28
Iran,"7,220,402",+969,"141,058 ",+17,"6,977,760","+2,613","101,584","1,114","84,006","1,641","50,914,586","592,367","85,951,036 ",Asia,11,0.2,"1,182",2022-04-28
Colombia,"6,092,167",+208,"139,789 ",+4,"5,925,828",+194,"26,550",342,"117,449","2,695","34,446,718","664,088","51,870,736 ",South America,4,0.08,512,2022-04-28
Indonesia,"6,046,072",+412,"156,217 ",+18,"5,881,490","+1,171","8,365","2,771","21,687",560,"95,397,890","342,183","278,791,850 ",Asia,1,0.06,30,2022-04-28
Poland,"5,994,817",+957,"116,022 ",+24,"5,334,558",+57,"544,237","1,321","158,714","3,072","36,078,168","955,179","37,771,112 ",Europe,25,0.6,"14,409",2022-04-28
Australia,"5,847,352","+46,138","7,163 ",+50,"5,509,057","+50,641","331,132",149,"224,563",275,"69,168,574","2,656,368","26,038,778 ",Australia/Oceania,"1,772",2,"12,717",2022-04-28
Mexico,"5,736,579","+1,464","324,221 ",+48,"5,036,692","+1,007","375,666","4,798","43,657","2,467","15,786,017","120,137","131,400,125 ",North America,11,0.4,"2,859",2022-04-28
