"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop,Date
China,"221,289",+331,"5,205 ",+2,"209,140",+614,"6,944",397,154,4,"160,000,000","111,163","1,439,323,776 ",Asia,0.2,,5,2022-05-13
USA," 84,174,521","+87,595","1,026,527 ",+272,"81,204,934","+41,245","1,943,060","1,936","251,558","3,068","1,016,652,419","3,038,299","334,612,330 ",North America,262,0.8,"5,807",2022-05-13
India,"43,119,112","+2,512","524,201 ",+11,"42,576,815","+3,355","18,096",698,"30,685",373,"842,458,167","599,514","1,405,235,993  ",Asia,2,0.01,13,2022-05-13
Brazil,"30,664,739","+25,609","664,830 ",+130,"29,711,738","+7,834","288,171","8,318","142,382","3,087","63,776,166","296,125","215,369,381 ",South America,119,0.6,"1,338",2022-05-13
France,"29,130,343","+32,773","147,257 ",+98," 28,097,818","+80,487","885,268","1,329","444,452","2,247","271,490,188","4,142,225","65,542,109 ",Europe,500,1,"13,507",2022-05-13
Germany,"25,733,580","+67,670","137,809 ",+181,"23,875,700","+71,100","1,720,071","1,279","305,327","1,635","122,332,384","1,451,463","84,282,150 ",Europe,803,2,"20,408 ",2022-05-13
UK,"22,159,805",+190,"176,708 ",,"21,657,770","+19,614","325,327",253,"323,269","2,578","519,264,096","7,575,058","68,549,194 ",Europe,3,,"4,746",2022-05-13
Russia,"18,250,290","+4,896","377,464 ",+105,"17,633,601","+7,257","239,225","2,300","124,958","2,584","273,400,000","1,871,951","146,050,826 ",Europe,34,0.7,"1,638",2022-05-13
S. Korea,"17,727,086","+32,409","23,606 ",+52,,,,347,"345,212",460,"15,804,065","307,764","51,351,235 ",Asia,631,1,"325,873",2022-05-13
Italy,"16,993,813","+38,507","165,091 ",+115,"15,820,859","+49,734","1,007,863",341,"281,837","2,738","217,395,343","3,605,438","60,296,507 ",Europe,639,2,"16,715",2022-05-13
