"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop,Date
Colombia,"6,095,316",,"139,821 ",,"5,928,829",,"26,666",342,"117,446","2,694","34,675,581","668,137","51,898,874 ",South America,,,514,2022-05-18
Indonesia,"6,051,532",+327,"156,498 ",+17,"5,891,190",+364,"3,844","2,771","21,695",561,"97,722,986","350,335","278,941,908 ",Asia,1,0.06,14,2022-05-18
Poland,"6,004,427",+388,"116,230 ",+13,"5,335,163",+20,"553,034",981,"158,978","3,077","36,249,231","959,762","37,768,969 ",Europe,10,0.3,"14,643",2022-05-18
Mexico,"5,752,441",,"324,617 ",,"5,050,420",,"377,404","4,798","43,755","2,469","15,897,804","120,923","131,470,403 ",North America,,,"2,871",2022-05-18
Ukraine,"5,009,301",,"108,497 ",,,,,177,"115,844","2,509","19,521,252","451,445","43,241,697 ",Europe,,,"19,490",2022-05-18
Malaysia,"4,483,295","+2,017","35,630 ",+7,"4,417,694","+2,548","29,971",38,"135,272","1,075","59,422,327","1,792,917","33,142,816 ",Asia,61,0.2,904,2022-05-18
Thailand,"4,388,610","+5,633","29,598 ",+45,"4,298,132","+8,042","60,880","1,496","62,580",422,"17,270,775","246,275","70,128,075 ",Asia,80,0.6,868,2022-05-18
Austria,"4,222,381","+4,322","18,320 ",+8,"4,151,556","+5,609","52,505",54,"463,862","2,013","185,851,263","20,417,234","9,102,666 ",Europe,475,0.9,"5,768",2022-05-18
Belgium,"4,127,123",,"31,656 ",," 3,961,911",,"133,556",105,"353,225","2,709","33,906,863","2,901,963","11,684,111 ",Europe,,,"11,431",2022-05-18
Israel,"4,114,967","+2,128","10,812 ",,"4,083,611",,"20,544",150,"441,236","1,159","41,373,364","4,436,346","9,326,000 ",Asia,228,,"2,203",2022-05-18
Portugal,"4,066,674",,"22,583 ",,,,,61,"401,012","2,227","41,997,519","4,141,349","10,141,023 ",Europe,,,"115,167",2022-05-18
Czechia,"3,916,933",+487,"40,259 ",+2,"3,873,335",+213,"3,339",8,"364,495","3,746","55,341,715","5,149,888","10,746,197 ",Europe,45,0.2,311,2022-05-18
South Africa,"3,908,020","+8,179","100,867 ",+55,"3,726,962","+6,535","80,191",192,"64,373","1,661","24,963,628","411,198","60,709,464 ",Africa,135,0.9,"1,321",2022-05-18
Canada,"3,834,887","+5,530","40,387 ",+91,"3,509,574","+2,382","284,926",370,"99,966","1,053","61,608,584","1,605,976","38,362,077 ",North America,144,2,"7,427",2022-05-18
Philippines,"3,688,100",+103,"60,452 ",,"3,625,407",+345,"2,241",480,"32,838",538,"29,916,986","266,371","112,313,210 ",Asia,0.9,,20,2022-05-18
Switzerland,"3,642,604",,"13,934 ",,"3,562,426",,"66,244",71,"415,197","1,588","20,991,820","2,392,724","8,773,190 ",Europe,,,"7,551",2022-05-18
Chile,"3,616,950","+5,137","57,754 ",+21,"3,473,796","+1,263","85,400",150,"186,214","2,973"," 37,817,799","1,947,002","19,423,603 ",South America,264,1,"4,397",2022-05-18
Peru,"3,573,738",+518,"213,069 ",+11,,,,198,"105,631","6,298","30,327,514","896,409","33,832,231 ",South America,15,0.3,"48,475",2022-05-18
Greece,"3,406,553","+4,626","29,619 ",+20,"3,324,287","+5,107","52,647",161,"329,846","2,868","81,540,162","7,895,286","10,327,702 ",Europe,448,2,"5,098",2022-05-18
Denmark,"2,978,630",+686,"6,304 ",+8,"2,962,898",+890,"9,428",11,"510,878","1,081","127,369,645","21,845,737","5,830,412 ",Europe,118,1,"1,617",2022-05-18
Romania,"2,904,588",+513,"65,637 ",+12,,,,117,"152,894","3,455","23,006,705","1,211,048","18,997,356 ",Europe,27,0.6,"12,228",2022-05-18
Sweden,"2,506,607",+476,"18,908 ",,"2,478,293",+257,"9,406",9,"245,331","1,851","18,553,837","1,815,935","10,217,236 ",Europe,47,,921,2022-05-18
Iraq,"2,326,852",+126,"25,216 ",,"2,300,381",+145,"1,255",11,"55,516",602,"18,542,103","442,396","41,912,868 ",Asia,3,,30,2022-05-18
Serbia,"2,013,983",+361,"16,055 ",+2,"1,989,782",,"8,146",11,"232,254","1,851","9,624,550","1,109,912","8,671,455 ",Europe,42,0.2,939,2022-05-18
Bangladesh,"1,953,103",+22,"29,127 ",,"1,900,138",+241,"23,838","1,259","11,642",174,"14,065,536","83,842","167,763,080 ",Asia,0.1,,142,2022-05-18
Hungary,"1,914,697","+4,749","46,446 ",+103,"1,830,803","+9,368","37,448",21,"199,149","4,831","11,394,556","1,185,154","9,614,406 ",Europe,494,11,"3,895",2022-05-18
Slovakia,"1,787,657",+253,"20,069 ",+7,"1,763,291",+734,"4,297",30,"327,134","3,673","7,131,776","1,305,088","5,464,596 ",Europe,46,1,786,2022-05-18
DPRK,"1,715,950","+232,890",62 ,+6,"1,024,720","+205,630","691,168",,"66,022",2,,,"25,990,454 ",Asia,"8,961",0.2,"26,593",2022-05-18
Jordan,"1,694,216",,"14,048 ",,"1,678,941",,"1,227",124,"163,017","1,352","16,670,254","1,604,006","10,392,886 ",Asia,,,118,2022-05-18
Georgia,"1,655,221",,"16,811 ",,"1,637,293",,"1,117",,"416,426","4,229","16,920,079","4,256,812","3,974,824 ",Asia,,,281,2022-05-18
Ireland,"1,551,835",+792,"7,244 ",+33,"1,505,844","+1,667","38,747",24,"307,836","1,437","12,169,068","2,413,965","5,041,112 ",Europe,157,7,"7,686",2022-05-18
Pakistan,"1,529,469",+66,"30,378 ",,"1,494,141",,"4,950",90,"6,681",133,"28,395,922","124,040","228,925,744 ",Asia,0.3,,22,2022-05-18
Norway,"1,430,531",+358,"3,061 ",,,,,20,"260,066",556,"11,002,430","2,000,204","5,500,654 ",Europe,65,,"243,338",2022-05-18
Kazakhstan,"1,305,660",+6,"13,661 ",,"1,291,834",+10,165,24,"68,012",712,"11,575,012","602,946","19,197,441 ",Asia,0.3,,9,2022-05-18
Singapore,"1,254,113","+6,442","1,369 ",+2,"1,175,996","+2,781","76,748",8,"211,253",231,"23,875,083","4,021,720","5,936,536 ",Asia,"1,085",0.3,"12,928",2022-05-18
Hong Kong,"1,209,397",+329,"9,365 ",+4,,,,5,"158,903","1,230","44,972,952","5,909,000","7,610,924 ",Asia,43,0.5,"155,934",2022-05-18
Morocco,"1,166,100",+116,"16,075 ",+1," 1,149,241",+74,784,293,"30,906",426,"11,237,010","297,826","37,730,117 ",Africa,3,0.03,21,2022-05-18
Bulgaria,"1,162,724",+275,"37,071 ",+6,"1,036,716","+10,545","88,937",51,"169,729","5,411","9,947,973","1,452,155","6,850,492 ",Europe,40,0.9,"12,983 ",2022-05-18
Croatia,"1,132,671",+773,"15,945 ",+1,"1,112,824",+231,"3,902",11,"279,130","3,929","4,847,711","1,194,649","4,057,855 ",Europe,190,0.2,962,2022-05-18
Cuba,"1,104,769",+62,"8,529 ",,"1,095,785",+70,455,23,"97,649",754," 12,920,253","1,142,004","11,313,666 ",North America,5,,40,2022-05-18
Lebanon,"1,098,124",,"10,411 ",,"1,085,202",,"2,511",186,"162,248","1,538","4,795,578","708,546","6,768,199 ",Asia,,,371,2022-05-18
New Zealand,"1,070,373","+9,663",967 , +30,"1,012,754","+8,023","56,652",,"213,985",193,"7,140,588","1,427,518","5,002,100 ",Australia/Oceania,"1,932",6,"11,326",2022-05-18
Finland,"1,069,740",,"4,284 ",,,,,21,"192,509",771,"10,832,080","1,949,322","5,556,844 ",Europe,,,"183,460",2022-05-18
Lithuania,"1,061,080",+177,"9,128 ",+1,"1,034,061",+422,"17,891",8,"400,230","3,443","9,961,963","3,757,564","2,651,176 ",Europe,67,0.4,"6,748",2022-05-18
Tunisia,"1,041,789",,"28,628 ",,,,,29,"86,453","2,376","4,607,327","382,342","12,050,287 ",Africa,,,"-1,128.19",2022-05-18
Slovenia,"1,021,144",+549,"6,627 ",+1,"1,006,408","+1,656","8,109",9,"491,059","3,187","2,659,485","1,278,923","2,079,473 ",Europe,264,0.5,"3,900",2022-05-18
Belarus,"982,867",,"6,978 ",,,,,,"104,079",739,"13,220,483","1,399,956","9,443,501 ",Europe,,,"5,014",2022-05-18
Taiwan,"980,183","+84,398","1,176 ",+41,"87,305","+11,473","891,702",,"41,016",49,"16,601,305","694,687","23,897,525 ",Asia,"3,532",2,"37,314",2022-05-18
Nepal,"979,028",+6,"11,952 ",,"966,929",+8,147,,"32,506",397,"5,677,107","188,493","30,118,383 ",Asia,0.2,,5,2022-05-18
Bolivia,"906,462",+129,"21,943 ",,"864,559",+379,"19,960",220,"75,720"," 1,833","2,705,422","225,992","11,971,295 ",South America,11,,"1,667",2022-05-18
UAE,"903,382",+298,"2,302 ",,"887,155",+353,"13,925",,"89,318",228,"159,575,272","15,777,263","10,114,256 ",Asia,29,,"1,377",2022-05-18
Uruguay,"902,540",,"7,213 ",,"892,434",,"2,893",18,"258,143","2,063","6,114,822","1,748,950","3,496,282 ",South America,,,827,2022-05-18
Costa Rica,"877,533",,"8,472 ",,"848,035",,"21,026",38,"169,367","1,635","4,487,906","866,180","5,181,261 ",North America,,,"4,058",2022-05-18
Ecuador,"872,542",,"35,610 ",,,,,759,"48,087","1,963","2,470,170","136,136","18,144,892 ",South America,,,"21,662",2022-05-18
Guatemala,"854,074",+794,"17,864 ",+22,"833,857",+616,"2,353",5,"46,076",964,"4,576,496","246,894","18,536,297 ",North America,43,1,127,2022-05-18
Latvia,"826,506",+164,"5,811 ",+7,"817,754",+421,"2,941",6,"447,449","3,146","7,230,804","3,914,571","1,847,151 ",Europe,89,4,"1,592",2022-05-18
Panama,"817,658"," +3,506","8,211 ",+1,"782,104","+1,792","27,343",16,"184,074","1,848","6,073,302","1,367,246","4,441,996 ",North America,789,0.2,"6,156",2022-05-18
Azerbaijan,"792,685",+5,"9,709 ",,"782,934",+13,42,,"76,882",942,"6,862,217","665,564","10,310,381 ",Asia,0.5,,4,2022-05-18
Saudi Arabia,"761,079",+602,"9,123 ",+2,"745,397",+556,"6,559",79,"21,242",255,"42,209,730","1,178,074","35,829,452 ",Asia,17,0.06,183,2022-05-18
Sri Lanka,"663,720",+31,"16,511 ",,"646,928",+3, 281,,"30,754",765,"6,486,117","300,541","21,581,441 ",Asia,1,,13,2022-05-18
Paraguay,"649,929",,"18,881 ",,"624,673",,"6,375",2,"89,072","2,588","2,633,737","360,951","7,296,662 ",South America,,,874,2022-05-18
Kuwait," 632,474",+400,"2,555 ",,"629,392",+278,527,3,"144,108",582,"8,088,043","1,842,850","4,388,877 ",Asia,91,,120,2022-05-18
Myanmar,"613,182",+14,"19,434 ",,"592,130",+7,"1,618",,"11,130",353,"8,110,213","147,209","55,093,113 ",Asia,0.3,,29,2022-05-18
Palestine,"582,246",,"5,355 ",,"576,764",,127,17,"109,373","1,006","3,078,533","578,291","5,323,502 ",Asia,,,24,2022-05-18
Dominican Republic,"580,661",,"4,377 ",,"575,748",,536,1,"52,540",396,"3,310,374","299,535","11,051,698 ",North America,,,48,2022-05-18
Bahrain,"579,410",+562,"1,480 ",+1,"572,735",+753,"5,195",4,"319,708",817,"9,800,264","5,407,612","1,812,309 ",Asia,310,0.6,"2,867",2022-05-18
Estonia,"575,046",,"2,561 ",,"516,588",,"55,897",4,"432,949","1,928","3,357,306","2,527,700","1,328,206 ",Europe,,,"42,085",2022-05-18
Venezuela,"523,149",+30,"5,714 ",+1,"516,328",+44,"1,107",230,"18,496",202,"3,359,014","118,756","28,285,032 ",South America,1,0.04,39,2022-05-18
Moldova,"516,986",,"11,489 ",,"504,142",,"1,355",49,"128,719","2,861","3,216,305","800,793","4,016,402 ",Europe,,,337,2022-05-18
Egypt,"515,645",,"24,613 ",,"442,182",,"48,850",122,"4,867",232,"3,693,367","34,860","105,949,512 ",Africa,,,461,2022-05-18
Libya,"501,904",,"6,430 ",,"490,973",,"4,501",101,"71,229",913,"2,477,219","351,562","7,046,322 ",Africa,,,639,2022-05-18
Cyprus,"477,711",,"1,032 ",,"124,370",,"352,309",60,"390,343",843,"9,477,138","7,743,873","1,223,824 ",Asia,,,"287,876",2022-05-18
Ethiopia,"471,089",+49,"7,512 ",,"455,808",+2,"7,769",6,"3,916",62,"4,850,839","40,324","120,296,327 ",Africa, 0.4,,65,2022-05-18
Mongolia,"469,885",,"2,179 ",,"313,256",,"154,450",192,"139,135",645,"4,030,048","1,193,318","3,377,178 ",Asia,,,"45,733",2022-05-18
Honduras,"424,771",+324,"10,896 ",,"132,401",,"281,474",105,"41,646","1,068","1,369,816","134,300","10,199,682 ",North America,32,,"27,596",2022-05-18
Armenia,"422,917",,"8,623 ",,"412,071",,"2,223",,"142,223","2,900","3,078,174","1,035,161","2,973,618 ",Asia,,,748,2022-05-18
Réunion,"411,363",, 770 ,,"403,795",,"6,798",10,"453,401",849,"1,603,660","1,767,543","907,282 ",Africa,,,"7,493",2022-05-18
Oman,"389,460",+13,"4,260 ",,"384,636",+18,564,3,"72,799",796,"25,000,000","4,673,042","5,349,834 ",Asia,2,,105,2022-05-18
Bosnia and Herzegovina,"377,648",+42,"15,783 ",,,,,,"116,465","4,867","1,770,155","545,906","3,242,601 ",Europe,13,,"52,318",2022-05-18
Qatar,"366,603",+126,677 ,,"364,919",+140,"1,007",1,"130,566",241,"3,497,554","1,245,654","2,807,805 ",Asia,45,,359,2022-05-18
Kenya,"324,097",+26,"5,649 ",,"318,205",+13,243,,"5,789",101,"3,640,462","65,020","55,989,527 ",Africa,0.5,,4,2022-05-18
Zambia,"320,680",,"3,983 ",,"316,139",,558,1,"16,574",206,"3,454,966","178,569","19,348,029 ",Africa,,,29,2022-05-18
North Macedonia,"311,038",+96,"9,293 ",,"301,202",+88,543,,"149,307","4,461","2,040,024","979,268","2,083,214 ",Europe,46,,261,2022-05-18
Botswana,"306,614",,"2,692 ",,"303,619",,303,1,"125,633","1,103","2,026,898","830,506","2,440,557 ",Africa,,,124,2022-05-18
Albania,"275,732",+44,"3,497 ",,"271,975",+13,260,2,"96,010","1,218"," 1,819,846","633,671","2,871,911 ",Europe,15,,91,2022-05-18
Algeria,"265,834",+6,"6,875 ",,"178,376",+2,"80,583",6,"5,864",152,"230,861","5,092","45,334,183 ",Africa,0.1,,"1,778",2022-05-18
Nigeria,"255,889",+30,"3,143 ",,"249,961",+18,"2,785",11,"1,186",15,"5,152,011","23,884","215,707,431 ",Africa,0.1,,13,2022-05-18
Zimbabwe,"250,007",+259,"5,486 ",+2,"242,654",+73,"1,867",12,"16,374",359,"2,299,078","150,579","15,268,214 ",Africa,17,0.1,122,2022-05-18
Luxembourg,"244,182",,"1,073 ",,"235,939",,"7,170",,"378,545","1,663","4,248,188","6,585,787","645,054 ",Europe,,,"11,115",2022-05-18
Uzbekistan,"238,842",+18,"1,637 ",,"237,057",+38,148,23,"6,948", 48,"1,377,915","40,082","34,377,819 ",Asia,0.5,,4,2022-05-18
Montenegro,"236,489",+75,"2,719 ",,"233,163",+61,607,6,"376,446","4,328","2,467,858","3,928,365","628,215 ",Europe,119,,966,2022-05-18
Mozambique,"225,539",+20,"2,201 ",,"223,228",+4,110,13,"6,856",67,"1,321,360","40,169","32,895,133 ",Africa,0.6,,3,2022-05-18
Laos,"209,553",+51,754 ,,,,,,"28,040",101,"1,232,128","164,870","7,473,324 ",Asia,7,,"26,914",2022-05-18
Kyrgyzstan,"200,993",,"2,991 ",,"196,406",,"1,596",131,"29,884",445,"1,907,195","283,563","6,725,815 ",Asia,,,237,2022-05-18
Iceland,"186,969",+152,153 ,+8,,,,,"541,324",443,"1,925,385","5,574,492","345,392 ",Europe,440,23,"321,753",2022-05-18
Maldives,"179,560",,298 ,,"163,687",,"15,575",25,"321,575",534,"2,213,831","3,964,767","558,376 ",Asia,,,"27,893",2022-05-18
Afghanistan,"179,483",+67,"7,691 ",,"162,489",+198,"9,303","1,124","4,424",190,"954,693","23,532","40,570,241 ",Asia,2,,229,2022-05-18
Uganda,"164,069",,"3,596 ",,"100,205",,"60,268",2,"3,387",74,"2,612,795","53,932","48,445,687 ",Africa,,,"1,244",2022-05-18
El Salvador,"162,089",,"4,130 ",,"150,662",,"7,297",8,"24,756",631,"1,950,448","297,891","6,547,515 ",North America,,,"1,114",2022-05-18
Ghana,"161,325",,"1,445 ",,"159,826",,54,1,"4,996",45,"2,445,003"," 75,725","32,287,720 ",Africa,,,2,2022-05-18
Namibia,"160,640",+202,"4,031 ",+1,"153,662",,"2,947",,"61,147","1,534","1,022,171","389,088","2,627,094 ",Africa,77,0.4,"1,122",2022-05-18
Trinidad and Tobago,"156,327",+434,"3,883 ", +2,"143,487",+717,"8,957",18,"111,030","2,758","732,410","520,186","1,407,977 ",North America,308,1,"6,362",2022-05-18
Martinique,"153,253",,926 ,,104,,"152,223",8,"408,980","2,471","828,928","2,212,126","374,720 ",North America,,," 406,231",2022-05-18
Brunei ,"145,521",+300,221 ,,"143,477",+182,"1,823",,"326,774",496,"717,784","1,611,817","445,326 ",Asia,674,,"4,094",2022-05-18
Guadeloupe,"140,130",,854 ,,"2,250",,"137,026",19,"350,104","2,134"," 938,039","2,343,621","400,252 ",North America,,,"342,349",2022-05-18
Cambodia,"136,262",,"3,056 ",,"133,198",+1,8,,"7,944",178,"2,962,730","172,730","17,152,397 ",Asia,,,0.5,2022-05-18
Jamaica,"133,250",+147,"3,013  ",+2,"85,512",+118,"44,725",,"44,634","1,009","1,045,536","350,219","2,985,379 ",North America,49,0.7,"14,981",2022-05-18
Rwanda,"129,934",+7,"1,459 ",,"45,522",,"82,953",,"9,587",108,"5,363,494","395,728","13,553,476 ",Africa,0.5,,"6,120",2022-05-18
Cameroon,"119,780",,"1,927 ",,"117,791",,62,13,"4,311",69,"1,751,774","63,051","27,783,297 ",Africa,,,2,2022-05-18
Angola,"99,194",,"1,900 ",,"97,149",,145,,"2,852",55,"1,499,795","43,122","34,780,503 ",Africa,,,4,2022-05-18
Malta,"93,758",+76,716 ,+2,"90,498",+160,"2,544",4,"211,288","1,614","1,908,998","4,302,006","443,746 ",Europe,171,5,"5,733",2022-05-18
DRC,"87,633",,"1,338 ",,"50,930",,"35,365",,926,14,"846,704","8,945","94,659,629 ",Africa,,,374,2022-05-18
Senegal,"86,055",+4,"1,966 ",,"84,069",+5,20,,"4,898",112,"1,084,267","61,711","17,570,187 ",Africa,0.2,,1,2022-05-18
Malawi,"85,898",+3,"2,637 ",,"82,713",+1,548,67,"4,283",131,"579,859","28,913","20,055,632 ",Africa,0.1,,27,2022-05-18
Ivory Coast,"82,020",+12,799 ,,"81,197",+12,24,,"2,972",29," 1,512,972","54,815","27,601,507 ",Africa,0.4,,0.9,2022-05-18
French Guiana,"81,784",,397 ,,"11,254",,"70,133",1,"261,141","1,268","631,628","2,016,827","313,179 ",South America,,,"223,939",2022-05-18
Suriname,"80,240",,"1,339 ",,"49,466",,"29,435",,"134,523","2,245","236,652","396,748","596,479 ",South America,,,"49,348",2022-05-18
Barbados,"77,767",+403,435 ,+1,"73,283",+788,"4,049",,"269,992","1,510","675,234","2,344,286","288,034 ",North America,"1,399",3," 14,057",2022-05-18
Channel Islands,"75,561",,174 ,,"74,803",,584,,"427,224",984,"1,252,808","7,083,414","176,865 ",Europe,,,"3,302",2022-05-18
French Polynesia,"72,847",+11,649 ,,,,,7,"256,549","2,286",,,"283,950 ",Australia/Oceania,39,,"136,285",2022-05-18
Eswatini,"71,934",+67,"1,403 ",,"69,818",+13,713,11,"60,824","1,186","1,022,792","864,818","1,182,667 ",Africa,57,,603,2022-05-18
Fiji,"64,824",+8,862  ,,"62,875",,"1,087",,"71,344",949,"520,560","572,917","908,614 ",Australia/Oceania,9,,"1,196",2022-05-18
Madagascar,"64,276",,"1,393 ",,"59,370",,"3,513",6,"2,215",48,"435,827","15,016","29,024,097 ",Africa,,,121,2022-05-18
Guyana,"64,020",+94,"1,228 ",,"62,346",+12,446,,"80,664","1,547","615,100","775,015","793,662 ",South America,118,,562,2022-05-18
Sudan,"62,211",+16,"4,937 ",+1,,,,,"1,359",108,"562,941","12,300","45,766,597 ",Africa,0.3,0.02,370,2022-05-18
New Caledonia,"61,514",+452,312 ,,"60,620",+281,582,9,"211,650","1,073","98,964","340,504","290,640 ",Australia/Oceania,"1,555",,"2,002",2022-05-18
Bhutan,"59,574",,21  ,,"59,509",,44,,"75,647",27,"2,303,734","2,925,287","787,524 ",Asia,,,56,2022-05-18
Mauritania,"58,920",+11,982 ,,"57,726",+8,212,,"12,077",201,"820,657","168,218","4,878,521 ",Africa,2,,43,2022-05-18
Belize,"58,215",+80,677 ,+1,"56,834",+26,704,6,"141,591","1,647","553,202","1,345,506","411,148 ",North America,195,2,"1,712",2022-05-18
Cabo Verde,"56,127",,401 ,,"55,640",,86,23,"98,937",707," 400,982","706,827","567,299 ",Africa,,,152,2022-05-18
Syria,"55,873",+1,"3,150 ",,"52,558",+16,165,,"3,054",172,"146,269","7,994","18,296,802 ",Asia,0.05,,9,2022-05-18
Gabon,"47,608",,304 ,,"47,297",,7,,"20,485",131,"1,594,523","686,086","2,324,087 ",Africa,,,3,2022-05-18
Papua New Guinea,"44,394",,651 ,,"43,726",+4,17,7,"4,792",70,"249,149","26,893","9,264,460 ",Australia/Oceania,,,2,2022-05-18
Seychelles,"43,235",,167 ,,"42,553",,515,,"434,575","1,679",,,"99,488 ",Africa,,,"5,177",2022-05-18
Curaçao,"43,017",,275 ,,"42,203",,539,3,"260,157","1,663","496,693","3,003,889","165,350 ",North America,,,"3,260",2022-05-18
Andorra,"42,572",+416,153 ,,"41,757",+736,662,14,"549,337","1,974","249,838","3,223,841","77,497 ",Europe,"5,368",,"8,542",2022-05-18
Burundi,"41,530",,38 ,,,,,,"3,308",3,"345,742","27,541","12,553,886 ",Africa,,,"3,244",2022-05-18
Mauritius,"37,912",+11,996 ,,"36,255",,661,,"29,718",781,"358,675","281,155","1,275,721 ",Africa,9,,518,2022-05-18
Mayotte,"37,523",,187 ,,"2,964",,"34,372",,"131,594",656,"176,919","620,459","285,142 ",Africa,,,"120,543",2022-05-18
Togo,"37,029",+3,273 ,,"36,736",+2,20,,"4,285",32,"736,781","85,255","8,642,092 ",Africa,0.3,,2,2022-05-18
Guinea,"36,597",,442 ,,"36,113",,42,8,"2,652",32,"660,107","47,834","13,799,838 ",Africa,,,3,2022-05-18
Aruba,"35,693",,213 ,,"35,199",,281,,"331,673","1,979","177,885","1,652,976","107,615 ",North America,,,"2,611",2022-05-18
Tanzania,"35,354",,840 ,,,,,7,562,13,,,"62,920,125 ",Africa,,,546,2022-05-18
Faeroe Islands,"34,658",,28 ,,,,,5,"704,273",569,"778,000","15,809,473","49,211 ",Europe,,,"547,378",2022-05-18
Bahamas,"34,011",+22,801 ,,"32,539",+13,671,,"84,967","2,001","233,473","583,270","400,283 ",North America,55,,"1,676",2022-05-18
Lesotho,"32,910",,697 ,,"24,155",,"8,058",,"15,138",321,"431,221","198,348","2,174,063 ",Africa,,,"3,706",2022-05-18
Mali,"31,041",+18,734 ,,"30,128",+12,179,,"1,454",34,"677,372","31,737","21,343,014 ",Africa,0.8,,8,2022-05-18
Haiti,"30,725",,835 ,,"29,619",,271,,"2,634",72,"132,422","11,354","11,662,920 ",North America,,,23,2022-05-18
Isle of Man,"28,416",,105 ,,"26,794",,"1,517",,"330,896","1,223","150,753","1,755,473","85,876 ",Europe,,,"17,665",2022-05-18
Benin,"26,952",,163 ,,"25,506",,"1,283",5,"2,119",13,"604,310","47,517","12,717,823 ",Africa,,,101,2022-05-18
Somalia,"26,521",+3,"1,350 ",,"13,182",,"11,989",,"1,586",81,"400,466","23,946","16,723,508 ",Africa,0.2,,717,2022-05-18
Saint Lucia,"24,655",+141,368 ,,"23,503",+68,784,1,"133,127","1,987","143,281","773,660","185,199 ",North America,761,,"4,233",2022-05-18
Congo,"24,079",,385 ,,"20,178",,"3,516",,"4,171",67,"347,815","60,254","5,772,438 ",Africa,,,609,2022-05-18
Cayman Islands,"23,578",,28 ,,"8,553",,"14,997",1,"351,030",417,"222,773","3,316,654","67,168 ",North America,,,"223,276",2022-05-18
Timor-Leste,"22,890",,131 ,,"22,748",,11,,"16,763",96,"265,125","194,163","1,365,478 ",Asia,,,8,2022-05-18
