"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop,Date
China,"222,370",+240,"5,217 ",+3,"211,948",+391,"5,205",301,154,4,"160,000,000","111,163","1,439,323,776 ",Asia,0.2,,4,2022-05-18
USA,"84,692,706","+103,958","1,028,014 ",+273,"81,438,103","+55,724","2,226,589","2,254","253,087","3,072","1,020,316,136","3,049,007","334,638,797 ",North America,311,0.8,"6,654",2022-05-18
India,"43,129,563","+2,364","524,303 ",+10,"42,589,841","+2,582","15,419",698,"30,688",373,"844,926,602","601,191","1,405,421,194 ",Asia,2,0.01,11,2022-05-18
Brazil,"30,741,811","+13,525","665,376 ",+99,"29,746,640",,"329,795","8,318","142,726","3,089","63,776,166","296,096","215,389,991 ",South America,63,0.5,"1,531",2022-05-18
France,"29,263,304","+29,995","147,648 ",+80,"28,395,316","+59,670","720,340","1,173","446,468","2,253","271,490,188","4,142,101","65,544,076 ",Europe,458,1,"10,990",2022-05-18
Germany,"25,956,837","+64,582","138,349 ",+166,"24,299,000","+143,100","1,519,488",944,"307,962","1,641","122,332,384","1,451,400","84,285,800 ",Europe,766,2,"18,028",2022-05-18
UK,"22,207,102",,"177,410 ",,"21,734,193",,"295,499",189,"323,936","2,588","519,264,096","7,574,521","68,554,055 ",Europe,,,"4,310",2022-05-18
Russia,"18,273,690","+4,732","377,975 ",+106,"17,664,676","+6,134","231,039","2,300","125,118","2,588","273,400,000","1,871,940","146,051,678 ",Europe,32,0.7,"1,582",2022-05-18
S. Korea,"17,861,744","+31,315","23,802 ",+31,"17,214,107","+43,235","623,835",313,"347,831",464,"15,804,065","307,760","51,351,836 ",Asia,610,0.6,"12,148",2022-05-18
Italy,"17,147,477","+30,408","165,630 ",+136,"16,029,269","+45,614","952,578",318,"284,392","2,747","218,557,950","3,624,793","60,295,297 ",Europe,504,2," 15,799",2022-05-18
Turkey,"15,058,627","+1,443","98,914 ",+3,"14,956,279","+1,274","3,434",975,"175,021","1,150","161,146,307","1,872,941","86,039,163 ",Asia,17,0.03,40,2022-05-18
Spain,"12,179,234",,"105,642 ",,"11,588,576",,"485,016",339,"260,303","2,258","471,036,328","10,067,309","46,788,701 ",Europe,,,"10,366",2022-05-18
Vietnam,"10,701,796","+1,831","43,072 ",+1,"9,373,294","+8,437","1,285,430",206,"108,122",435,"85,812,861","866,978","98,979,283 ",Asia,18,0.01,"12,987",2022-05-18
Argentina,"9,135,308",," 128,776 ",,"8,895,999",,"110,533",300,"198,712","2,801","35,716,069","776,897","45,972,702 ",South America,,,"2,404",2022-05-18
Japan,"8,433,124","+33,734","30,122 ",+33,"8,051,254","+35,796","351,748",125,"67,062",240,"50,811,141","404,061","125,751,275 ",Asia,268,0.3,"2,797",2022-05-18
Netherlands,"8,072,704","+1,183","22,297 ",,"8,001,687","+2,072","48,720",44,"469,183","1,296","21,107,399","1,226,754","17,205,893 ",Europe,69,,"2,832",2022-05-18
Iran,"7,229,074",+288,"141,244 ",+8,"7,026,733","+1,946","61,097", 752,"84,052","1,642","51,877,878","603,183","86,006,844 ",Asia,3,0.09,710,2022-05-18
Australia,"6,759,554","+56,259","7,926 ",+53,"6,370,466","+57,116","381,162",133,"259,443",304,"70,859,644","2,719,708","26,054,132 ",Australia/Oceania,"2,159",2,"14,630",2022-05-18
