"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop,Date
Philippines,3687567.0,139.0,60452.0,13.0,3623938.0,277.0,3177.0,289.0,32839.0,538.0,29785678.0,265249.0,112293283.0,Asia,1.0,0.1,28.0,2022-05-12
Switzerland,3631881.0,,13882.0,,3533050.0,2617.0,84949.0,78.0,414016.0,1582.0,20927607.0,2385639.0,8772327.0,Europe,,,9684.0,2022-05-12
Chile,3591097.0,4575.0,57680.0,13.0,3458211.0,1562.0,75206.0,177.0,184904.0,2970.0,37525296.0,1932166.0,19421364.0,South America,236.0,0.7,3872.0,2022-05-12
Peru,3571161.0,360.0,213000.0,21.0,,,,251.0,105575.0,6297.0,30166746.0,891822.0,33825955.0,South America,11.0,0.6,48409.0,2022-05-12
Greece,3380594.0,4782.0,29491.0,20.0,3294451.0,6470.0,56652.0,180.0,327311.0,2855.0,81003093.0,7842758.0,10328394.0,Europe,463.0,2.0,5485.0,2022-05-12
Denmark,2975108.0,691.0,6271.0,11.0,2958077.0,992.0,10760.0,6.0,510298.0,1076.0,127324433.0,21839023.0,5830134.0,Europe,119.0,2.0,1846.0,2022-05-12
Romania,2901682.0,602.0,65595.0,6.0,,,,151.0,152727.0,3453.0,22910784.0,1205888.0,18999100.0,Europe,32.0,0.3,12076.0,2022-05-12
Sweden,2504894.0,,18864.0,,2476511.0,1240.0,9519.0,9.0,245184.0,1846.0,18553837.0,1816088.0,10216378.0,Europe,,,932.0,2022-05-12
Iraq,2326162.0,129.0,25216.0,1.0,2299668.0,96.0,1278.0,14.0,55516.0,602.0,18517002.0,441928.0,41900507.0,Asia,3.0,0.02,31.0,2022-05-12
Serbia,2011825.0,426.0,16042.0,2.0,1985614.0,507.0,10169.0,14.0,231993.0,1850.0,9579268.0,1104629.0,8671933.0,Europe,49.0,0.2,1173.0,2022-05-12
Bangladesh,1952939.0,51.0,29127.0,,1898603.0,291.0,25209.0,1273.0,11643.0,174.0,14039668.0,83699.0,167740682.0,Asia,0.3,,150.0,2022-05-12
Hungary,1909948.0,,46343.0,,1821435.0,,42170.0,29.0,198648.0,4820.0,11394556.0,1185113.0,9614740.0,Europe,,,4386.0,2022-05-12
Slovakia,1786328.0,350.0,20011.0,9.0,1759094.0,1117.0,7223.0,30.0,326893.0,3662.0,7122263.0,1303355.0,5464560.0,Europe,64.0,2.0,1322.0,2022-05-12
Jordan,1694216.0,,14048.0,,1678941.0,,1227.0,124.0,163039.0,1352.0,16670254.0,1604220.0,10391503.0,Asia,,,118.0,2022-05-12
Georgia,1655221.0,,16811.0,,1637293.0,,1117.0,,416415.0,4229.0,16920079.0,4256700.0,3974929.0,Asia,,,281.0,2022-05-12
Ireland,1534927.0,754.0,7176.0,6.0,1493735.0,7832.0,34016.0,28.0,304527.0,1424.0,12138572.0,2408275.0,5040359.0,Europe,150.0,1.0,6749.0,2022-05-12
